Epoch [2], Iter [9], Batch [62], Loss Dec: 6.3412, Loss Rec: 0.0064, Estimator: -0.0595, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [63], Loss Dec: 6.3075, Loss Rec: 0.0064, Estimator: -0.0734, Disc Acc: 0.85
Epoch [3], Iter [9], Batch [64], Loss Dec: 6.3220, Loss Rec: 0.0077, Estimator: -0.0763, Disc Acc: 0.90
Epoch [3], Iter [9], Batch [65], Loss Dec: 6.3346, Loss Rec: 0.0065, Estimator: -0.0433, Disc Acc: 0.80
Epoch [3], Iter [9], Batch [66], Loss Dec: 6.3444, Loss Rec: 0.0053, Estimator: -0.0463, Disc Acc: 0.90
Epoch [3], Iter [9], Batch [67], Loss Dec: 6.3766, Loss Rec: 0.0064, Estimator: -0.0332, Disc Acc: 0.90
Epoch [3], Iter [9], Batch [68], Loss Dec: 6.3303, Loss Rec: 0.0064, Estimator: -0.0447, Disc Acc: 0.85
Epoch [3], Iter [9], Batch [69], Loss Dec: 6.3221, Loss Rec: 0.0072, Estimator: -0.0425, Disc Acc: 1.00
Epoch [3], Iter [9], Batch [70], Loss Dec: 6.3305, Loss Rec: 0.0074, Estimator: -0.0638, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [71], Loss Dec: 6.3525, Loss Rec: 0.0052, Estimator: -0.0637, Disc Acc: 1.00
Epoch [3], Iter [9], Batch [72], Loss Dec: 6.3828, Loss Rec: 0.0072, Estimator: -0.0516, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [73], Loss Dec: 6.3420, Loss Rec: 0.0074, Estimator: -0.0326, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [74], Loss Dec: 6.3456, Loss Rec: 0.0063, Estimator: -0.0187, Disc Acc: 0.75
Epoch [3], Iter [9], Batch [75], Loss Dec: 6.3825, Loss Rec: 0.0066, Estimator: -0.0057, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [76], Loss Dec: 6.3487, Loss Rec: 0.0059, Estimator: -0.0366, Disc Acc: 1.00
Epoch [3], Iter [9], Batch [77], Loss Dec: 6.3270, Loss Rec: 0.0068, Estimator: -0.0497, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [78], Loss Dec: 6.3481, Loss Rec: 0.0064, Estimator: -0.0632, Disc Acc: 0.85
Epoch [3], Iter [9], Batch [79], Loss Dec: 6.3573, Loss Rec: 0.0061, Estimator: -0.0504, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [80], Loss Dec: 6.3396, Loss Rec: 0.0067, Estimator: -0.0391, Disc Acc: 1.00
Epoch [3], Iter [9], Batch [81], Loss Dec: 6.3437, Loss Rec: 0.0058, Estimator: -0.0112, Disc Acc: 0.95
Epoch [3], Iter [9], Batch [82], Loss Dec: 6.3430, Loss Rec: 0.0058, Estimator: -0.0387, Disc Acc: 0.90
Epoch [3], Iter [9], Batch [83], Loss Dec: 6.3523, Loss Rec: 0.0067, Estimator: -0.0375, Disc Acc: 0.95
Epoch [4], Iter [9], Batch [84], Loss Dec: 6.3273, Loss Rec: 0.0075, Estimator: -0.0734, Disc Acc: 1.00
Epoch [4], Iter [9], Batch [85], Loss Dec: 6.3503, Loss Rec: 0.0059, Estimator: -0.0712, Disc Acc: 0.90
